Aika;Alue;val
Vuosi 2020 Viikko 01;Ahvenanmaa;0
Vuosi 2020 Viikko 02;Ahvenanmaa;0
Vuosi 2020 Viikko 03;Ahvenanmaa;0
Vuosi 2020 Viikko 04;Ahvenanmaa;0
Vuosi 2020 Viikko 05;Ahvenanmaa;0
Vuosi 2020 Viikko 06;Ahvenanmaa;0
Vuosi 2020 Viikko 07;Ahvenanmaa;0
Vuosi 2020 Viikko 08;Ahvenanmaa;0
Vuosi 2020 Viikko 09;Ahvenanmaa;0
Vuosi 2020 Viikko 10;Ahvenanmaa;0
Vuosi 2020 Viikko 11;Ahvenanmaa;0
Vuosi 2020 Viikko 12;Ahvenanmaa;4
Vuosi 2020 Viikko 13;Ahvenanmaa;3
Vuosi 2020 Viikko 14;Ahvenanmaa;1
Vuosi 2020 Viikko 15;Ahvenanmaa;2
Vuosi 2020 Viikko 16;Ahvenanmaa;0
Vuosi 2020 Viikko 17;Ahvenanmaa;1
Vuosi 2020 Viikko 18;Ahvenanmaa;0
Vuosi 2020 Viikko 19;Ahvenanmaa;0
Vuosi 2020 Viikko 20;Ahvenanmaa;0
Vuosi 2020 Viikko 21;Ahvenanmaa;1
Vuosi 2020 Viikko 22;Ahvenanmaa;1
Vuosi 2020 Viikko 23;Ahvenanmaa;3
Vuosi 2020 Viikko 24;Ahvenanmaa;2
Vuosi 2020 Viikko 25;Ahvenanmaa;0
Vuosi 2020 Viikko 26;Ahvenanmaa;1
Vuosi 2020 Viikko 27;Ahvenanmaa;0
Vuosi 2020 Viikko 28;Ahvenanmaa;0
Vuosi 2020 Viikko 29;Ahvenanmaa;0
Vuosi 2020 Viikko 30;Ahvenanmaa;1
Vuosi 2020 Viikko 31;Ahvenanmaa;0
Vuosi 2020 Viikko 32;Ahvenanmaa;0
Vuosi 2020 Viikko 33;Ahvenanmaa;0
Vuosi 2020 Viikko 34;Ahvenanmaa;1
Vuosi 2020 Viikko 35;Ahvenanmaa;0
Vuosi 2020 Viikko 36;Ahvenanmaa;0
Vuosi 2020 Viikko 37;Ahvenanmaa;0
Vuosi 2020 Viikko 38;Ahvenanmaa;0
Vuosi 2020 Viikko 39;Ahvenanmaa;1
Vuosi 2020 Viikko 40;Ahvenanmaa;0
Vuosi 2020 Viikko 41;Ahvenanmaa;4
Vuosi 2020 Viikko 42;Ahvenanmaa;1
Vuosi 2020 Viikko 43;Ahvenanmaa;8
Vuosi 2020 Viikko 44;Ahvenanmaa;3
Vuosi 2020 Viikko 45;Ahvenanmaa;5
Vuosi 2020 Viikko 46;Ahvenanmaa;0
Vuosi 2020 Viikko 47;Ahvenanmaa;3
Vuosi 2020 Viikko 48;Ahvenanmaa;2
Vuosi 2020 Viikko 49;Ahvenanmaa;0
Vuosi 2020 Viikko 50;Ahvenanmaa;8
Vuosi 2020 Viikko 51;Ahvenanmaa;12
Vuosi 2020 Viikko 52;Ahvenanmaa;27
Vuosi 2020 Viikko 53;Ahvenanmaa;8
Vuosi 2021 Viikko 01;Ahvenanmaa;8
Vuosi 2021 Viikko 02;Ahvenanmaa;1
Vuosi 2021 Viikko 03;Ahvenanmaa;
Vuosi 2021 Viikko 04;Ahvenanmaa;
Vuosi 2021 Viikko 05;Ahvenanmaa;
Vuosi 2021 Viikko 06;Ahvenanmaa;
Vuosi 2021 Viikko 07;Ahvenanmaa;
Vuosi 2021 Viikko 08;Ahvenanmaa;
Vuosi 2021 Viikko 09;Ahvenanmaa;
Vuosi 2021 Viikko 10;Ahvenanmaa;
Vuosi 2021 Viikko 11;Ahvenanmaa;
Vuosi 2021 Viikko 12;Ahvenanmaa;
Vuosi 2021 Viikko 13;Ahvenanmaa;
Vuosi 2021 Viikko 14;Ahvenanmaa;
Vuosi 2021 Viikko 15;Ahvenanmaa;
Vuosi 2021 Viikko 16;Ahvenanmaa;
Vuosi 2021 Viikko 17;Ahvenanmaa;
Vuosi 2021 Viikko 18;Ahvenanmaa;
Vuosi 2021 Viikko 19;Ahvenanmaa;
Vuosi 2021 Viikko 20;Ahvenanmaa;
Vuosi 2021 Viikko 21;Ahvenanmaa;
Vuosi 2021 Viikko 22;Ahvenanmaa;
Vuosi 2021 Viikko 23;Ahvenanmaa;
Vuosi 2021 Viikko 24;Ahvenanmaa;
Vuosi 2021 Viikko 25;Ahvenanmaa;
Vuosi 2021 Viikko 26;Ahvenanmaa;
Vuosi 2021 Viikko 27;Ahvenanmaa;
Vuosi 2021 Viikko 28;Ahvenanmaa;
Vuosi 2021 Viikko 29;Ahvenanmaa;
Vuosi 2021 Viikko 30;Ahvenanmaa;
Vuosi 2021 Viikko 31;Ahvenanmaa;
Vuosi 2021 Viikko 32;Ahvenanmaa;
Vuosi 2021 Viikko 33;Ahvenanmaa;
Vuosi 2021 Viikko 34;Ahvenanmaa;
Vuosi 2021 Viikko 35;Ahvenanmaa;
Vuosi 2021 Viikko 36;Ahvenanmaa;
Vuosi 2021 Viikko 37;Ahvenanmaa;
Vuosi 2021 Viikko 38;Ahvenanmaa;
Vuosi 2021 Viikko 39;Ahvenanmaa;
Vuosi 2021 Viikko 40;Ahvenanmaa;
Vuosi 2021 Viikko 41;Ahvenanmaa;
Vuosi 2021 Viikko 42;Ahvenanmaa;
Vuosi 2021 Viikko 43;Ahvenanmaa;
Vuosi 2021 Viikko 44;Ahvenanmaa;
Vuosi 2021 Viikko 45;Ahvenanmaa;
Vuosi 2021 Viikko 46;Ahvenanmaa;
Vuosi 2021 Viikko 47;Ahvenanmaa;
Vuosi 2021 Viikko 48;Ahvenanmaa;
Vuosi 2021 Viikko 49;Ahvenanmaa;
Vuosi 2021 Viikko 50;Ahvenanmaa;
Vuosi 2021 Viikko 51;Ahvenanmaa;
Vuosi 2021 Viikko 52;Ahvenanmaa;
Aika;Ahvenanmaa;112
Vuosi 2020 Viikko 01;Varsinais-Suomen SHP;0
Vuosi 2020 Viikko 02;Varsinais-Suomen SHP;0
Vuosi 2020 Viikko 03;Varsinais-Suomen SHP;0
Vuosi 2020 Viikko 04;Varsinais-Suomen SHP;0
Vuosi 2020 Viikko 05;Varsinais-Suomen SHP;0
Vuosi 2020 Viikko 06;Varsinais-Suomen SHP;0
Vuosi 2020 Viikko 07;Varsinais-Suomen SHP;0
Vuosi 2020 Viikko 08;Varsinais-Suomen SHP;0
Vuosi 2020 Viikko 09;Varsinais-Suomen SHP;0
Vuosi 2020 Viikko 10;Varsinais-Suomen SHP;1
Vuosi 2020 Viikko 11;Varsinais-Suomen SHP;17
Vuosi 2020 Viikko 12;Varsinais-Suomen SHP;20
Vuosi 2020 Viikko 13;Varsinais-Suomen SHP;32
Vuosi 2020 Viikko 14;Varsinais-Suomen SHP;50
Vuosi 2020 Viikko 15;Varsinais-Suomen SHP;59
Vuosi 2020 Viikko 16;Varsinais-Suomen SHP;52
Vuosi 2020 Viikko 17;Varsinais-Suomen SHP;25
Vuosi 2020 Viikko 18;Varsinais-Suomen SHP;25
Vuosi 2020 Viikko 19;Varsinais-Suomen SHP;25
Vuosi 2020 Viikko 20;Varsinais-Suomen SHP;14
Vuosi 2020 Viikko 21;Varsinais-Suomen SHP;19
Vuosi 2020 Viikko 22;Varsinais-Suomen SHP;8
Vuosi 2020 Viikko 23;Varsinais-Suomen SHP;3
Vuosi 2020 Viikko 24;Varsinais-Suomen SHP;4
Vuosi 2020 Viikko 25;Varsinais-Suomen SHP;1
Vuosi 2020 Viikko 26;Varsinais-Suomen SHP;10
Vuosi 2020 Viikko 27;Varsinais-Suomen SHP;4
Vuosi 2020 Viikko 28;Varsinais-Suomen SHP;4
Vuosi 2020 Viikko 29;Varsinais-Suomen SHP;7
Vuosi 2020 Viikko 30;Varsinais-Suomen SHP;9
Vuosi 2020 Viikko 31;Varsinais-Suomen SHP;8
Vuosi 2020 Viikko 32;Varsinais-Suomen SHP;22
Vuosi 2020 Viikko 33;Varsinais-Suomen SHP;19
Vuosi 2020 Viikko 34;Varsinais-Suomen SHP;18
Vuosi 2020 Viikko 35;Varsinais-Suomen SHP;20
Vuosi 2020 Viikko 36;Varsinais-Suomen SHP;7
Vuosi 2020 Viikko 37;Varsinais-Suomen SHP;23
Vuosi 2020 Viikko 38;Varsinais-Suomen SHP;23
Vuosi 2020 Viikko 39;Varsinais-Suomen SHP;21
Vuosi 2020 Viikko 40;Varsinais-Suomen SHP;68
Vuosi 2020 Viikko 41;Varsinais-Suomen SHP;84
Vuosi 2020 Viikko 42;Varsinais-Suomen SHP;76
Vuosi 2020 Viikko 43;Varsinais-Suomen SHP;94
Vuosi 2020 Viikko 44;Varsinais-Suomen SHP;177
Vuosi 2020 Viikko 45;Varsinais-Suomen SHP;147
Vuosi 2020 Viikko 46;Varsinais-Suomen SHP;139
Vuosi 2020 Viikko 47;Varsinais-Suomen SHP;114
Vuosi 2020 Viikko 48;Varsinais-Suomen SHP;190
Vuosi 2020 Viikko 49;Varsinais-Suomen SHP;304
Vuosi 2020 Viikko 50;Varsinais-Suomen SHP;450
Vuosi 2020 Viikko 51;Varsinais-Suomen SHP;438
Vuosi 2020 Viikko 52;Varsinais-Suomen SHP;265
Vuosi 2020 Viikko 53;Varsinais-Suomen SHP;241
Vuosi 2021 Viikko 01;Varsinais-Suomen SHP;210
Vuosi 2021 Viikko 02;Varsinais-Suomen SHP;65
Vuosi 2021 Viikko 03;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 04;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 05;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 06;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 07;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 08;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 09;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 10;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 11;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 12;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 13;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 14;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 15;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 16;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 17;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 18;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 19;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 20;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 21;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 22;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 23;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 24;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 25;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 26;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 27;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 28;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 29;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 30;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 31;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 32;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 33;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 34;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 35;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 36;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 37;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 38;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 39;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 40;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 41;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 42;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 43;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 44;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 45;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 46;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 47;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 48;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 49;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 50;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 51;Varsinais-Suomen SHP;
Vuosi 2021 Viikko 52;Varsinais-Suomen SHP;
Aika;Varsinais-Suomen SHP;3612
Vuosi 2020 Viikko 01;Satakunnan SHP;0
Vuosi 2020 Viikko 02;Satakunnan SHP;0
Vuosi 2020 Viikko 03;Satakunnan SHP;0
Vuosi 2020 Viikko 04;Satakunnan SHP;0
Vuosi 2020 Viikko 05;Satakunnan SHP;0
Vuosi 2020 Viikko 06;Satakunnan SHP;0
Vuosi 2020 Viikko 07;Satakunnan SHP;0
Vuosi 2020 Viikko 08;Satakunnan SHP;0
Vuosi 2020 Viikko 09;Satakunnan SHP;0
Vuosi 2020 Viikko 10;Satakunnan SHP;0
Vuosi 2020 Viikko 11;Satakunnan SHP;10
Vuosi 2020 Viikko 12;Satakunnan SHP;7
Vuosi 2020 Viikko 13;Satakunnan SHP;8
Vuosi 2020 Viikko 14;Satakunnan SHP;9
Vuosi 2020 Viikko 15;Satakunnan SHP;8
Vuosi 2020 Viikko 16;Satakunnan SHP;7
Vuosi 2020 Viikko 17;Satakunnan SHP;2
Vuosi 2020 Viikko 18;Satakunnan SHP;2
Vuosi 2020 Viikko 19;Satakunnan SHP;0
Vuosi 2020 Viikko 20;Satakunnan SHP;0
Vuosi 2020 Viikko 21;Satakunnan SHP;0
Vuosi 2020 Viikko 22;Satakunnan SHP;0
Vuosi 2020 Viikko 23;Satakunnan SHP;0
Vuosi 2020 Viikko 24;Satakunnan SHP;3
Vuosi 2020 Viikko 25;Satakunnan SHP;3
Vuosi 2020 Viikko 26;Satakunnan SHP;1
Vuosi 2020 Viikko 27;Satakunnan SHP;0
Vuosi 2020 Viikko 28;Satakunnan SHP;2
Vuosi 2020 Viikko 29;Satakunnan SHP;3
Vuosi 2020 Viikko 30;Satakunnan SHP;4
Vuosi 2020 Viikko 31;Satakunnan SHP;10
Vuosi 2020 Viikko 32;Satakunnan SHP;3
Vuosi 2020 Viikko 33;Satakunnan SHP;3
Vuosi 2020 Viikko 34;Satakunnan SHP;0
Vuosi 2020 Viikko 35;Satakunnan SHP;0
Vuosi 2020 Viikko 36;Satakunnan SHP;2
Vuosi 2020 Viikko 37;Satakunnan SHP;1
Vuosi 2020 Viikko 38;Satakunnan SHP;2
Vuosi 2020 Viikko 39;Satakunnan SHP;3
Vuosi 2020 Viikko 40;Satakunnan SHP;6
Vuosi 2020 Viikko 41;Satakunnan SHP;8
Vuosi 2020 Viikko 42;Satakunnan SHP;8
Vuosi 2020 Viikko 43;Satakunnan SHP;11
Vuosi 2020 Viikko 44;Satakunnan SHP;10
Vuosi 2020 Viikko 45;Satakunnan SHP;13
Vuosi 2020 Viikko 46;Satakunnan SHP;15
Vuosi 2020 Viikko 47;Satakunnan SHP;23
Vuosi 2020 Viikko 48;Satakunnan SHP;67
Vuosi 2020 Viikko 49;Satakunnan SHP;49
Vuosi 2020 Viikko 50;Satakunnan SHP;32
Vuosi 2020 Viikko 51;Satakunnan SHP;17
Vuosi 2020 Viikko 52;Satakunnan SHP;15
Vuosi 2020 Viikko 53;Satakunnan SHP;15
Vuosi 2021 Viikko 01;Satakunnan SHP;13
Vuosi 2021 Viikko 02;Satakunnan SHP;2
Vuosi 2021 Viikko 03;Satakunnan SHP;
Vuosi 2021 Viikko 04;Satakunnan SHP;
Vuosi 2021 Viikko 05;Satakunnan SHP;
Vuosi 2021 Viikko 06;Satakunnan SHP;
Vuosi 2021 Viikko 07;Satakunnan SHP;
Vuosi 2021 Viikko 08;Satakunnan SHP;
Vuosi 2021 Viikko 09;Satakunnan SHP;
Vuosi 2021 Viikko 10;Satakunnan SHP;
Vuosi 2021 Viikko 11;Satakunnan SHP;
Vuosi 2021 Viikko 12;Satakunnan SHP;
Vuosi 2021 Viikko 13;Satakunnan SHP;
Vuosi 2021 Viikko 14;Satakunnan SHP;
Vuosi 2021 Viikko 15;Satakunnan SHP;
Vuosi 2021 Viikko 16;Satakunnan SHP;
Vuosi 2021 Viikko 17;Satakunnan SHP;
Vuosi 2021 Viikko 18;Satakunnan SHP;
Vuosi 2021 Viikko 19;Satakunnan SHP;
Vuosi 2021 Viikko 20;Satakunnan SHP;
Vuosi 2021 Viikko 21;Satakunnan SHP;
Vuosi 2021 Viikko 22;Satakunnan SHP;
Vuosi 2021 Viikko 23;Satakunnan SHP;
Vuosi 2021 Viikko 24;Satakunnan SHP;
Vuosi 2021 Viikko 25;Satakunnan SHP;
Vuosi 2021 Viikko 26;Satakunnan SHP;
Vuosi 2021 Viikko 27;Satakunnan SHP;
Vuosi 2021 Viikko 28;Satakunnan SHP;
Vuosi 2021 Viikko 29;Satakunnan SHP;
Vuosi 2021 Viikko 30;Satakunnan SHP;
Vuosi 2021 Viikko 31;Satakunnan SHP;
Vuosi 2021 Viikko 32;Satakunnan SHP;
Vuosi 2021 Viikko 33;Satakunnan SHP;
Vuosi 2021 Viikko 34;Satakunnan SHP;
Vuosi 2021 Viikko 35;Satakunnan SHP;
Vuosi 2021 Viikko 36;Satakunnan SHP;
Vuosi 2021 Viikko 37;Satakunnan SHP;
Vuosi 2021 Viikko 38;Satakunnan SHP;
Vuosi 2021 Viikko 39;Satakunnan SHP;
Vuosi 2021 Viikko 40;Satakunnan SHP;
Vuosi 2021 Viikko 41;Satakunnan SHP;
Vuosi 2021 Viikko 42;Satakunnan SHP;
Vuosi 2021 Viikko 43;Satakunnan SHP;
Vuosi 2021 Viikko 44;Satakunnan SHP;
Vuosi 2021 Viikko 45;Satakunnan SHP;
Vuosi 2021 Viikko 46;Satakunnan SHP;
Vuosi 2021 Viikko 47;Satakunnan SHP;
Vuosi 2021 Viikko 48;Satakunnan SHP;
Vuosi 2021 Viikko 49;Satakunnan SHP;
Vuosi 2021 Viikko 50;Satakunnan SHP;
Vuosi 2021 Viikko 51;Satakunnan SHP;
Vuosi 2021 Viikko 52;Satakunnan SHP;
Aika;Satakunnan SHP;397
Vuosi 2020 Viikko 01;Kanta-Hämeen SHP;0
Vuosi 2020 Viikko 02;Kanta-Hämeen SHP;0
Vuosi 2020 Viikko 03;Kanta-Hämeen SHP;0
Vuosi 2020 Viikko 04;Kanta-Hämeen SHP;0
Vuosi 2020 Viikko 05;Kanta-Hämeen SHP;0
Vuosi 2020 Viikko 06;Kanta-Hämeen SHP;0
Vuosi 2020 Viikko 07;Kanta-Hämeen SHP;0
Vuosi 2020 Viikko 08;Kanta-Hämeen SHP;0
Vuosi 2020 Viikko 09;Kanta-Hämeen SHP;0
Vuosi 2020 Viikko 10;Kanta-Hämeen SHP;3
Vuosi 2020 Viikko 11;Kanta-Hämeen SHP;10
Vuosi 2020 Viikko 12;Kanta-Hämeen SHP;6
Vuosi 2020 Viikko 13;Kanta-Hämeen SHP;9
Vuosi 2020 Viikko 14;Kanta-Hämeen SHP;22
Vuosi 2020 Viikko 15;Kanta-Hämeen SHP;14
Vuosi 2020 Viikko 16;Kanta-Hämeen SHP;6
Vuosi 2020 Viikko 17;Kanta-Hämeen SHP;12
Vuosi 2020 Viikko 18;Kanta-Hämeen SHP;8
Vuosi 2020 Viikko 19;Kanta-Hämeen SHP;15
Vuosi 2020 Viikko 20;Kanta-Hämeen SHP;4
Vuosi 2020 Viikko 21;Kanta-Hämeen SHP;2
Vuosi 2020 Viikko 22;Kanta-Hämeen SHP;0
Vuosi 2020 Viikko 23;Kanta-Hämeen SHP;1
Vuosi 2020 Viikko 24;Kanta-Hämeen SHP;1
Vuosi 2020 Viikko 25;Kanta-Hämeen SHP;1
Vuosi 2020 Viikko 26;Kanta-Hämeen SHP;0
Vuosi 2020 Viikko 27;Kanta-Hämeen SHP;1
Vuosi 2020 Viikko 28;Kanta-Hämeen SHP;0
Vuosi 2020 Viikko 29;Kanta-Hämeen SHP;0
Vuosi 2020 Viikko 30;Kanta-Hämeen SHP;0
Vuosi 2020 Viikko 31;Kanta-Hämeen SHP;2
Vuosi 2020 Viikko 32;Kanta-Hämeen SHP;1
Vuosi 2020 Viikko 33;Kanta-Hämeen SHP;1
Vuosi 2020 Viikko 34;Kanta-Hämeen SHP;4
Vuosi 2020 Viikko 35;Kanta-Hämeen SHP;0
Vuosi 2020 Viikko 36;Kanta-Hämeen SHP;3
Vuosi 2020 Viikko 37;Kanta-Hämeen SHP;10
Vuosi 2020 Viikko 38;Kanta-Hämeen SHP;21
Vuosi 2020 Viikko 39;Kanta-Hämeen SHP;5
Vuosi 2020 Viikko 40;Kanta-Hämeen SHP;29
Vuosi 2020 Viikko 41;Kanta-Hämeen SHP;33
Vuosi 2020 Viikko 42;Kanta-Hämeen SHP;23
Vuosi 2020 Viikko 43;Kanta-Hämeen SHP;28
Vuosi 2020 Viikko 44;Kanta-Hämeen SHP;31
Vuosi 2020 Viikko 45;Kanta-Hämeen SHP;15
Vuosi 2020 Viikko 46;Kanta-Hämeen SHP;17
Vuosi 2020 Viikko 47;Kanta-Hämeen SHP;30
Vuosi 2020 Viikko 48;Kanta-Hämeen SHP;44
Vuosi 2020 Viikko 49;Kanta-Hämeen SHP;54
Vuosi 2020 Viikko 50;Kanta-Hämeen SHP;64
Vuosi 2020 Viikko 51;Kanta-Hämeen SHP;47
Vuosi 2020 Viikko 52;Kanta-Hämeen SHP;27
Vuosi 2020 Viikko 53;Kanta-Hämeen SHP;26
Vuosi 2021 Viikko 01;Kanta-Hämeen SHP;49
Vuosi 2021 Viikko 02;Kanta-Hämeen SHP;3
Vuosi 2021 Viikko 03;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 04;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 05;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 06;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 07;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 08;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 09;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 10;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 11;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 12;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 13;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 14;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 15;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 16;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 17;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 18;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 19;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 20;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 21;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 22;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 23;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 24;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 25;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 26;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 27;Kanta-Hämeen SHP;
Vuosi 2021 Viikko 28;Kanta-Hämeen SHP;
